,Tesla Stock Close Price,Tesla Stock Open Price,Tesla Stock Volume,Tesla Stock Adj Close Price,Tesla Stock High,Tesla Stock Low,S&P 500 Variance,Ford Stock Price,GM Stock Price,Toyota Stock Price,Nissan Stock Price,Tesla Wikipedia Page Views,Sentiment,Previous Sentiment,Previous Week Tesla Stock Close Price
17,1.995866609,2.004533434,25217100,1.995866609,2.084399843,1.923200011,288.0226977,16.52200012,34.18999863,75.8480011,19.00400009,991,0.1386516129,0.06463870968,1.710799789
18,2.312666953,2.26216644,18311625,2.312666953,2.351666808,2.212833464,233.9609796,15.98750019,33.65250015,78.29750061,18.8375001,912.5,0.1829685714,0.1386516129,1.995866609
19,2.238000011,2.280533218,23503500,2.238000011,2.323333454,2.163466597,221.3474646,16.40799961,34.40199966,78.71800079,19.34400024,844.4,0.0197483871,0.1829685714,2.312666953
20,2.104133415,2.118399954,12243300,2.104133415,2.159733438,2.052133203,260.8421745,16.67799988,34.23200073,78.28000031,19.50200005,1383.6,0,0.0197483871,2.238000011
21,2.02666657,2.025866389,13905300,2.02666657,2.066666818,1.972133422,456.6041187,16.67799988,33.77399979,77.83800201,19.11199989,853.8,0.072034375,0,2.104133415
22,1.911333263,1.956333309,59040375,1.911333263,2.011166483,1.861333519,486.6865383,16.84250021,34.91249943,77.87500191,18.92749977,755.5,0.1144925926,0.072034375,2.02666657
23,1.776666808,1.789999819,22128300,1.776666808,1.813333392,1.746533608,180.2971476,17.2,37.34200058,79.29399872,19.31399994,826.4,0.2239225806,0.1144925926,1.911333263
24,1.824399996,1.849733424,20966400,1.824399996,1.871199989,1.807333398,151.4719986,18.45,38.63600006,83.68799896,20.6,1080.4,0.1570576923,0.2239225806,1.776666808
25,1.588833243,1.63166675,28087875,1.588833243,1.652499974,1.559666514,156.9518268,18.08250046,37.46250057,83.63750076,20.28999996,1089.5,0.1974363636,0.1570576923,1.824399996
26,1.637999988,1.633466601,17821800,1.637999988,1.660533404,1.595066595,138.5333077,17.85000038,37.83999939,82.90800018,20.34000015,1007.2,0.09913235294,0.1974363636,1.588833243
27,1.587199998,1.597066808,9490800,1.587199998,1.607999992,1.56106658,109.5828176,15.74400005,36.25400085,83.98000031,20.91400032,866,0.1185193548,0.09913235294,1.637999988
28,1.563333368,1.574133396,26682600,1.563333368,1.612799811,1.527866578,202.1351549,16.14999981,36.3840004,89.97599945,21.29000015,1041.6,0.2266735294,0.1185193548,1.587199998
29,1.556333244,1.565666497,41883000,1.556333244,1.615833223,1.522666752,334.7554385,15.75499988,36.34999943,92.75499916,20.94999981,947.5,0.1714,0.2266735294,1.563333368
30,1.573199987,1.549333405,15667500,1.573199987,1.588400006,1.5349334,236.4406172,14.82799988,33.12600021,91.90399933,20.5,928.2,0,0.1714,1.556333244
31,1.64373343,1.641466594,20866200,1.64373343,1.664400005,1.606400013,120.926596,14.25000019,32.09600029,89.41199799,19.90800018,1056,0.2002878788,0,1.573199987
32,1.530533361,1.537466621,15795000,1.530533361,1.557733393,1.504533386,284.7789355,14.38000011,31.80200005,81.43000031,18.06799965,876.8,0.175615625,0.2002878788,1.64373343
33,1.496133423,1.499466586,7342800,1.496133423,1.514133382,1.475866604,363.2348331,14.65800018,31.2079998,82.16800079,17.58400002,911.4,0.238815625,0.175615625,1.530533361
34,1.670533395,1.654799795,52258200,1.670533395,1.718933392,1.6245332,337.0077507,14.92599983,31.38800011,80.39600067,17.44199982,1708.6,0.1719352941,0.238815625,1.496133423
35,1.762533402,1.783866811,31785900,1.762533402,1.814400196,1.724266601,467.0269316,15.44799976,32.06800003,77.31399841,16.70400009,1314.8,0.1729571429,0.1719352941,1.670533395
36,1.677866578,1.680533218,14163000,1.677866578,1.707066584,1.64573319,263.5499073,14.75599995,30.24799995,77.37400055,17.24400024,1033.8,0.115659375,0.1729571429,1.762533402
37,1.785666525,1.768999755,17189625,1.785666525,1.805333465,1.741666496,92.98364275,15.55250001,31.28500032,78.56500244,18.5875001,1104.5,0.1296742857,0.115659375,1.677866578
38,1.800666595,1.821999812,14062500,1.800666595,1.833333182,1.772000217,272.2423671,15.30599995,32.4640007,79.77000122,19.22999954,935,0.06523225806,0.1296742857,1.785666525
39,1.847066975,1.846800184,14111100,1.847066975,1.882400012,1.808400202,316.0645279,15.14399986,31.3579998,81.76999817,19.55,989.4,0.09755294118,0.06523225806,1.800666595
40,1.801066804,1.818400002,18651000,1.801066804,1.842400002,1.756533194,172.7092569,15.06800003,31.27400017,81.12599945,19.65200005,838.4,0.2546,0.09755294118,1.847066975
41,1.887333202,1.865333009,33583200,1.887333202,1.914133215,1.817466593,163.2637877,14.64000015,31.00400009,81.13399963,19.31599998,977.4,0.1709285714,0.2546,1.801066804
42,1.949999785,1.976799989,43041000,1.949999785,2.01773355,1.922666788,155.7904225,14.25,29.86399994,81.22600098,19.38199997,960.6,0.1048973684,0.1709285714,1.887333202
43,1.861733198,1.866666818,24457500,1.861733198,1.914400005,1.838266587,451.4900786,13.48400021,28.9720005,80.9,19.54599991,818.2,0.113475,0.1048973684,1.949999785
